nom,tailleMot,nbResults
attainders,10,36700
heroines,8,28800000
unright,7,120000
cultic,6,944000
permease,8,2450000
majeste,7,1960000
tunelessness,12,8870
unspilt,7,3810000
cestoids,8,6540
pasha,5,39200000
spaulds,7,990
proscenium,10,1370000
statuette,9,8690000
amok,4,11500000
rammed,6,49400000
ordinees,8,24000
shocking,8,165000000
mangos,6,269000000
summersault,11,313000
rub,3,399000000
ortolans,8,125000
misstate,8,307000
dishonoured,11,2010000
betide,6,736000
circumduction,13,155000
congenetic,10,9480
masculineness,13,10000
declinatures,12,16000
cerebra,7,438000
dentels,7,10700
radioactive,11,44200000
progymnasiums,13,279000
contradance,11,455000
microphyllous,13,19000
southwards,10,2060000
pyrochemical,12,45100
guanas,6,87900
sherbet,7,9910000
dobson,6,23100000
materialising,13,409000
blesses,7,9980000
barleys,7,231000
sidedly,7,220000
birmingham,10,242000000
dragonflies,11,19200000
bises,5,7550000
detraques,9,423000
hug,3,168000000
haddocks,8,226000
buhrstone,9,32300
