nom,tailleMot,nbResults
budskab,7,1190000
procedurer,10,1170000
bagfra,6,2220000
hyldest,7,878000
tolkes,6,869000
foran,5,1070000000
udviklingsfase,14,28300
arkivfilm,9,111000
arbejdspladsens,15,78100
boldgade,8,46100
manipulations,13,20600000
besejre,7,179000
arbejdstiden,12,410000
familietraditioner,18,8380
uvirkeligt,10,65300
kusse,5,2160000
udbyttet,8,277000
mennesket,9,2610000
dejlige,7,5420000
prinsgemal,10,10700
sti,3,157000000
omgiver,7,255000
forene,6,542000
splintret,9,23700
somalia,7,326000000
bruddet,7,521000
slikket,7,397000
undgik,6,180000
dubletterne,11,113000
salaten,7,1560000
hverv,5,255000
mission,7,914000000
tids,4,521000000
servante,8,3700000
kommanderede,12,22900
forbindelsen,12,1490000
drejede,7,526000
nydannede,9,36300
boliger,7,13000000
minimale,8,45800000
slutdato,8,414000
ps,2,1390000000
gemalinder,10,1140
partiet,7,5490000
ledende,7,5910000
obsidian,8,43700000
handicap,8,108000000
egner,5,3860000
intellektuelt,13,154000
lufthavns,9,162000
